iter	Passed	Remaining
1038	100417	199192
1039	100506	199080
1040	100571	198920
1041	100637	198763
1042	100693	198588
1043	100761	198433
1044	100834	198290
1045	100903	198141
1046	100983	198011
1047	101052	197863
1048	101151	197771
1049	101225	197630
1050	101316	197522
1051	101393	197390
1052	101482	197278
1053	101560	197146
1054	101635	197008
1055	101718	196887
1056	101795	196753
1057	101881	196637
1058	101975	196535
1059	102059	196415
1060	102145	196299
1061	102224	196171
1062	102317	196068
1063	102393	195933
1064	102480	195819
1065	102564	195699
1066	102649	195582
1067	102735	195467
1068	102815	195340
1069	102888	195200
1070	102964	195065
1071	103055	194958
1072	103148	194857
1073	103235	194743
1074	103312	194612
1075	103384	194470
1076	103474	194362
1077	103537	194204
1078	103613	194070
1079	103683	193925
1080	103768	193809
1081	103856	193698
1082	103949	193597
1083	104037	193487
1084	104123	193371
1085	104223	193283
1086	104298	193149
1087	104380	193026
1088	104472	192924
1089	104536	192769
1090	104633	192674
1091	104711	192546
1092	104794	192426
1093	104882	192316
1094	104982	192228
1095	105069	192116
1096	105143	191980
1097	105219	191848
1098	105341	191799
1099	105422	191677
1100	105505	191558
1101	105597	191455
1102	105670	191319
1103	105760	191212
1104	105834	191076
1105	105914	190953
1106	106000	190840
1107	106063	190685
1108	106142	190558
1109	106224	190437
1110	106297	190301
1111	106365	190157
1112	106430	190005
1113	106503	189871
1114	106601	189780
1115	106685	189662
1116	106758	189526
1117	106824	189378
1118	106902	189253
1119	106994	189151
1120	107065	189011
1121	107139	188878
1122	107210	188740
1123	107287	188611
1124	107368	188491
1125	107452	188375
1126	107536	188260
1127	107622	188148
1128	107704	188030
1129	107775	187892
1130	107859	187775
1131	107920	187621
1132	108000	187499
1133	108073	187365
1134	108159	187254
1135	108239	187132
1136	108310	186995
1137	108401	186892
1138	108482	186773
1139	108568	186661
1140	108667	186573
1141	108759	186471
1142	108844	186359
1143	108914	186220
1144	109003	186115
1145	109074	185979
1146	109153	185855
1147	109230	185730
1148	109320	185625
1149	109400	185505
1150	109465	185359
1151	109548	185243
1152	109627	185121
1153	109710	185005
1154	109800	184902
1155	109913	184836
1156	110027	184773
1157	110100	184642
1158	110194	184545
1159	110265	184409
1160	110331	184265
1161	110405	184136
1162	110478	184004
1163	110545	183863
1164	110618	183731
1165	110693	183602
1166	110780	183495
1167	110864	183382
1168	110934	183245
1169	111017	183131
1170	111093	183004
1171	111174	182887
1172	111244	182752
1173	111341	182660
1174	111426	182549
1175	111520	182452
1176	111597	182329
1177	111675	182207
1178	111754	182087
1179	111840	181978
1180	111919	181857
1181	112017	181767
1182	112113	181675
1183	112204	181574
1184	112287	181460
1185	112389	181377
1186	112493	181297
1187	112585	181198
1188	112682	181107
1189	112766	180994
1190	112841	180868
1191	112914	180739
1192	113000	180631
1193	113077	180506
1194	113171	180411
1195	113253	180296
1196	113329	180172
1197	113406	180049
1198	113510	179969
1199	113600	179867
1200	113673	179738
1201	113746	179609
1202	113830	179498
1203	113905	179372
1204	113997	179274
1205	114060	179130
1206	114136	179005
1207	114229	178909
1208	114296	178772
1209	114374	178651
1210	114451	178529
1211	114532	178413
1212	114607	178289
1213	114700	178192
1214	114779	178072
1215	114863	177962
1216	114943	177845
1217	115021	177726
1218	115096	177601
1219	115181	177492
1220	115267	177384
1221	115355	177281
1222	115427	177152
1223	115514	177046
1224	115587	176920
1225	115663	176797
1226	115754	176697
1227	115829	176574
1228	115919	176473
1229	116025	176396
1230	116117	176298
1231	116200	176186
1232	116279	176069
1233	116375	175977
1234	116470	175884
1235	116550	175768
1236	116643	175672
1237	116727	175562
1238	116824	175472
1239	116906	175359
1240	116993	175255
1241	117100	175178
1242	117191	175079
1243	117286	174986
1244	117362	174865
1245	117450	174762
1246	117519	174629
1247	117608	174528
1248	117692	174418
1249	117785	174322
1250	117868	174211
1251	117955	174107
1252	118037	173995
1253	118126	173893
1254	118208	173781
1255	118286	173662
1256	118364	173545
1257	118451	173439
1258	118536	173331
1259	118619	173222
1260	118698	173105
1261	118783	172999
1262	118849	172863
1263	118931	172751
1264	119016	172644
1265	119110	172550
1266	119193	172439
1267	119281	172336
1268	119355	172213
1269	119419	172077
1270	119494	171956
1271	119574	171841
1272	119658	171733
1273	119749	171634
1274	119879	171591
1275	119949	171464
1276	120030	171351
1277	120103	171227
1278	120177	171105
1279	120248	170978
1280	120316	170847
1281	120396	170734
1282	120457	170593
1283	120541	170485
1284	120629	170382
1285	120711	170272
1286	120794	170163
1287	120886	170066
1288	120967	169955
1289	121018	169801
1290	121086	169670
1291	121155	169543
1292	121235	169429
1293	121308	169307
1294	121403	169214
1295	121497	169121
1296	121582	169015
1297	121673	168918
1298	121749	168799
1299	121831	168689
1300	121901	168562
1301	122000	168476
1302	122080	168364
1303	122147	168234
1304	122220	168111
1305	122289	167984
1306	122366	167867
1307	122446	167755
1308	122520	167635
1309	122602	167526
1310	122680	167411
1311	122770	167311
1312	122864	167219
1313	122954	167120
1314	123051	167031
1315	123134	166924
1316	123231	166835
1317	123312	166724
1318	123399	166621
1319	123504	166544
1320	123580	166427
1321	123670	166328
1322	123762	166232
1323	123852	166135
1324	123941	166034
1325	124038	165945
1326	124122	165839
1327	124202	165728
1328	124278	165611
1329	124355	165495
1330	124445	165397
1331	124513	165269
1332	124604	165173
1333	124683	165060
1334	124756	164940
1335	124840	164834
1336	124914	164714
1337	125021	164640
1338	125102	164530
1339	125188	164427
1340	125258	164302
1341	125348	164204
1342	125449	164120
1343	125534	164017
1344	125618	163910
1345	125702	163805
1346	125784	163697
1347	125855	163574
1348	125938	163467
1349	126020	163360
1350	126087	163231
1351	126169	163124
1352	126249	163013
1353	126337	162914
1354	126421	162807
1355	126500	162696
1356	126584	162591
1357	126659	162475
1358	126739	162364
1359	126823	162259
1360	126896	162140
1361	126972	162025
1362	127046	161907
1363	127119	161788
1364	127218	161702
1365	127300	161595
1366	127384	161490
1367	127471	161389
1368	127555	161284
1369	127632	161171
1370	127687	161029
1371	127753	160902
1372	127835	160795
1373	127898	160664
1374	127969	160543
1375	128052	160437
1376	128132	160327
1377	128229	160240
1378	128304	160124
1379	128363	159989
1380	128435	159870
1381	128524	159772
1382	128604	159663
1383	128685	159555
1384	128782	159467
1385	128870	159368
1386	128943	159250
1387	129029	159148
1388	129116	159048
1389	129190	158931
1390	129286	158842
1391	129367	158734
1392	129445	158623
1393	129530	158522
1394	129606	158407
1395	129688	158301
1396	129774	158200
1397	129862	158101
1398	129963	158018
1399	130044	157911
1400	130133	157813
1401	130206	157696
1402	130298	157603
1403	130382	157499
1404	130468	157398
1405	130559	157302
1406	130633	157187
1407	130716	157082
1408	130804	156983
1409	130898	156892
1410	130976	156781
1411	131076	156697
1412	131165	156599
1413	131248	156496
1414	131333	156393
1415	131422	156296
1416	131506	156192
1417	131609	156111
1418	131713	156033
1419	131787	155917
1420	131867	155809
1421	131967	155725
1422	132050	155620
1423	132129	155512
1424	132231	155430
1425	132323	155336
1426	132462	155297
1427	132564	155215
1428	132656	155121
1429	132773	155057
1430	132899	155003
1431	133011	154932
1432	133163	154908
1433	133277	154839
1434	133404	154786
1435	133519	154718
1436	133637	154655
1437	133745	154579
1438	133875	154529
1439	133982	154451
1440	134091	154376
1441	134202	154305
1442	134279	154193
1443	134359	154085
1444	134459	153999
1445	134552	153906
1446	134633	153800
1447	134727	153708
1448	134833	153629
1449	134946	153559
1450	135038	153465
1451	135127	153367
1452	135208	153261
1453	135282	153147
1454	135344	153018
1455	135410	152894
1456	135504	152803
1457	135616	152730
1458	135692	152618
1459	135774	152514
1460	135850	152402
1461	135949	152315
1462	136035	152215
1463	136122	152115
1464	136208	152014
1465	136299	151918
1466	136385	151818
1467	136478	151724
1468	136593	151656
1469	136713	151593
1470	136810	151505
1471	136910	151420
1472	136989	151311
1473	137088	151225
1474	137174	151123
1475	137258	151021
1476	137358	150936
1477	137476	150871
1478	137567	150775
1479	137669	150691
1480	137759	150596
1481	137865	150517
1482	137961	150427
1483	138055	150335
1484	138143	150236
1485	138239	150146
1486	138315	150035
1487	138420	149955
1488	138515	149864
1489	138620	149784
1490	138712	149690
1491	138807	149600
1492	138880	149485
1493	138976	149395
1494	139066	149298
1495	139130	149174
1496	139195	149052
1497	139293	148964
1498	139371	148855
1499	139463	148761
1500	139561	148673
1501	139711	148641
1502	139816	148561
1503	139905	148463
1504	139995	148367
1505	140069	148253
1506	140159	148157
1507	140245	148058
1508	140344	147970
1509	140443	147883
1510	140550	147805
1511	140656	147726
1512	140754	147638
1513	140837	147535
1514	140923	147435
1515	141010	147335
1516	141124	147263
1517	141202	147155
1518	141293	147060
1519	141387	146968
1520	141474	146868
1521	141543	146751
1522	141631	146652
1523	141721	146557
1524	141821	146471
1525	141914	146378
1526	142010	146288
1527	142107	146199
1528	142193	146099
1529	142291	146011
1530	142391	145925
1531	142513	145862
1532	142617	145780
1533	142743	145721
1534	142895	145688
1535	143012	145619
1536	143127	145548
1537	143210	145445
1538	143298	145346
1539	143386	145248
1540	143485	145161
1541	143593	145083
1542	143698	145001
1543	143794	144912
1544	143984	144916
1545	144126	144871
1546	144206	144765
1547	144297	144670
1548	144395	144581
1549	144530	144530
1550	144631	144445
1551	144734	144361
1552	144880	144320
1553	145030	144283
1554	145145	144212
1555	145210	144090
1556	145300	143994
1557	145376	143883
1558	145464	143784
1559	145559	143693
1560	145638	143585
1561	145710	143472
1562	145801	143376
1563	145896	143284
1564	145987	143188
1565	146088	143103
1566	146171	143000
1567	146241	142884
1568	146326	142782
1569	146423	142692
1570	146508	142591
1571	146626	142522
1572	146728	142437
1573	146839	142361
1574	146939	142274
1575	147030	142179
1576	147126	142088
1577	147191	141967
1578	147273	141863
1579	147342	141747
1580	147425	141644
1581	147508	141541
1582	147594	141440
1583	147697	141356
1584	147761	141235
1585	147843	141131
1586	147926	141028
1587	148020	140936
1588	148121	140850
1589	148205	140748
1590	148283	140640
1591	148379	140550
1592	148475	140459
1593	148575	140373
1594	148657	140268
1595	148767	140191
1596	148865	140103
1597	148971	140021
1598	149066	139930
1599	149142	139820
1600	149239	139731
1601	149319	139625
1602	149385	139507
1603	149469	139405
1604	149558	139308
1605	149653	139217
1606	149734	139112
1607	149798	138991
1608	149908	138914
1609	149971	138793
1610	150059	138695
1611	150143	138593
1612	150274	138535
1613	150377	138451
1614	150485	138371
1615	150565	138266
1616	150657	138172
1617	150743	138072
1618	150827	137971
1619	150909	137867
1620	150991	137764
1621	151099	137684
1622	151201	137599
1623	151300	137511
1624	151402	137426
1625	151508	137344
1626	151608	137258
1627	151710	137173
1628	151790	137068
1629	151872	136964
1630	151973	136878
1631	152064	136783
1632	152140	136674
1633	152222	136571
1634	152299	136463
1635	152390	136368
1636	152463	136257
1637	152559	136167
1638	152623	136048
1639	152698	135938
1640	152793	135847
1641	152867	135737
1642	152941	135627
1643	153026	135526
1644	153113	135428
1645	153199	135329
1646	153295	135239
1647	153404	135159
1648	153489	135059
1649	153562	134949
1650	153659	134859
1651	153733	134749
1652	153853	134680
1653	153934	134576
1654	154041	134495
1655	154131	134399
1656	154231	134313
1657	154323	134218
1658	154457	134160
1659	154573	134087
1660	154641	133972
1661	154733	133878
1662	154834	133792
1663	154948	133717
