iter	MAE	RMSE
1764	0.3866626593	0.5388000495
1765	0.3865601097	0.5386607053
1766	0.3865225443	0.5386217345
1767	0.3864187098	0.5385187583
1768	0.3863691302	0.53845909
1769	0.3863241334	0.5384086699
1770	0.3862744985	0.5383534786
1771	0.3862240741	0.5383030127
1772	0.386183298	0.5382640544
1773	0.3861219516	0.5381710403
1774	0.3860303569	0.5380600357
1775	0.3859833356	0.5380042818
1776	0.3859269494	0.5379473351
1777	0.3858956583	0.5379142277
1778	0.3858812353	0.537897796
1779	0.385814119	0.5378277359
1780	0.3857965091	0.5378085851
1781	0.3856951785	0.5376745688
1782	0.3856412216	0.5376019847
1783	0.385570751	0.5375125552
1784	0.3855158683	0.5374608051
1785	0.385436397	0.5373530964
1786	0.3853478492	0.5372586353
1787	0.3852110406	0.5370915681
1788	0.3851192136	0.5369922511
1789	0.3850850365	0.5369562609
1790	0.3850479741	0.5369093707
1791	0.3849555185	0.5367876539
1792	0.3848557493	0.5366622307
1793	0.3848014078	0.5366091429
1794	0.3847320566	0.5365340432
1795	0.3846886602	0.5364854565
1796	0.3845769889	0.5363462698
1797	0.3845161004	0.5362770808
1798	0.3844115131	0.5361587463
1799	0.3843463241	0.536097437
1800	0.384316565	0.5360615455
1801	0.384240001	0.5359768169
1802	0.3841476796	0.5358709884
1803	0.384078684	0.5358013791
1804	0.3840337436	0.5357512511
1805	0.3839671757	0.5356716603
1806	0.3838689964	0.5355518485
1807	0.3837491258	0.535403067
1808	0.3837352158	0.5353898851
1809	0.3837196714	0.5353693448
1810	0.383666604	0.53531354
1811	0.3836163634	0.5352563629
1812	0.3835274254	0.5351632953
1813	0.3834440054	0.5350832975
1814	0.3833809267	0.5350124852
1815	0.3833542228	0.5349816328
1816	0.3833159666	0.5349361001
1817	0.3832717517	0.5348854652
1818	0.3832470378	0.5348588802
1819	0.3832259075	0.5348339998
1820	0.3832010671	0.534802507
1821	0.3831849797	0.5347863346
1822	0.3831351451	0.5347232812
1823	0.3830971848	0.5346828182
1824	0.3830890067	0.5346716359
1825	0.3829783589	0.5345568458
1826	0.3828695883	0.534424309
1827	0.3828323335	0.5343806563
1828	0.3827843043	0.5343273361
1829	0.3827336707	0.5342727938
1830	0.3826485851	0.5341666699
1831	0.3825559625	0.5340744912
1832	0.3825162124	0.5340377279
1833	0.3824526782	0.5339660156
1834	0.3823915954	0.5338949695
1835	0.3823417602	0.5338382929
1836	0.3822802407	0.5337738809
1837	0.3822158808	0.5336932969
1838	0.3821578503	0.5336261303
1839	0.3820716781	0.533520196
1840	0.3819861595	0.5334088295
1841	0.3819556348	0.533378405
1842	0.3819121091	0.5333314441
1843	0.3818477241	0.5332473958
1844	0.3817773105	0.5331727558
1845	0.3817577598	0.5331577596
1846	0.3817297567	0.5331240041
1847	0.3816824043	0.5330671196
1848	0.3816507958	0.5330331447
1849	0.3815847322	0.5329435383
1850	0.3815104122	0.5328528881
1851	0.3814268575	0.532746881
1852	0.3814173772	0.532740331
1853	0.3813685986	0.532687813
1854	0.3812869893	0.5325978556
1855	0.3811596547	0.5324575713
1856	0.3810858594	0.5323693111
1857	0.3810676148	0.5323520635
1858	0.3810157141	0.5323037701
1859	0.3809653331	0.5322409323
1860	0.3808833978	0.5321517325
1861	0.3808568683	0.5321235887
1862	0.3807775828	0.5320413859
1863	0.3807396691	0.5320059066
1864	0.3806889544	0.531947598
1865	0.3806013974	0.5318498963
1866	0.3805483496	0.5317833279
1867	0.3805246808	0.5317572905
1868	0.3803918021	0.5315984468
1869	0.3803433477	0.5315460929
1870	0.3803330101	0.5315343374
1871	0.3802773952	0.5314689758
1872	0.380220925	0.5314059433
1873	0.3801749454	0.531353526
1874	0.3800724829	0.5312302524
1875	0.38000724	0.5311585812
1876	0.3799518577	0.5310987333
1877	0.3799288578	0.5310735927
1878	0.3798641238	0.5310066116
1879	0.3798343308	0.5309780586
1880	0.3797834971	0.5309247255
1881	0.3797637198	0.5309060167
1882	0.3797116367	0.5308508738
1883	0.3796587727	0.5307998478
1884	0.3796042651	0.5307328766
1885	0.3795686881	0.5306891924
1886	0.3794795044	0.5305792958
1887	0.379454003	0.5305426314
1888	0.3794192401	0.5305106687
1889	0.3793476736	0.5304252729
1890	0.3792507532	0.5303153014
1891	0.3792125115	0.5302710119
1892	0.3791646966	0.5302032372
1893	0.3790232475	0.5300489024
1894	0.3789905001	0.530008878
1895	0.3789100763	0.5299214215
1896	0.3787981277	0.5297915841
1897	0.3787109052	0.5296891488
1898	0.3786882976	0.5296665864
1899	0.3785900123	0.5295809444
1900	0.3785085748	0.5294792953
1901	0.3784647625	0.5294336996
1902	0.3783905697	0.5293389018
1903	0.3783355023	0.5292763964
1904	0.3782912608	0.5292296949
1905	0.378240601	0.5291687773
1906	0.3781888252	0.5291115457
1907	0.3781494508	0.529069176
1908	0.3781162953	0.5290276138
1909	0.3780754521	0.5289724329
1910	0.3779580481	0.5288186075
1911	0.3779538391	0.5288161233
1912	0.3779395637	0.5288011499
1913	0.377871212	0.5287319227
1914	0.3777793486	0.5286480383
1915	0.3777013332	0.5285549874
1916	0.3776810432	0.5285337952
1917	0.377643114	0.5284945182
1918	0.3775616099	0.5283941213
1919	0.3775043031	0.5283224032
1920	0.3774583601	0.528274981
1921	0.3773829475	0.5281782415
1922	0.3773486807	0.5281362172
1923	0.3773271665	0.5281123203
1924	0.3772252512	0.5279927245
1925	0.3771771921	0.5279430537
1926	0.3770927968	0.5278548162
1927	0.3770508158	0.527801725
1928	0.3769568678	0.5276869617
1929	0.3769006571	0.5276256216
1930	0.3768034105	0.5275058386
1931	0.3767635891	0.5274598676
1932	0.3767115711	0.5274020025
1933	0.3766720674	0.5273526305
1934	0.3766523612	0.5273341624
1935	0.3765363459	0.5271906677
1936	0.3764903871	0.5271290093
1937	0.3763558845	0.5269669377
1938	0.3762869545	0.5268944526
1939	0.3762284329	0.5268318063
1940	0.3761894897	0.5267907499
1941	0.3761075772	0.526695373
1942	0.3760512738	0.5266325284
1943	0.3760261827	0.5266041629
1944	0.3759390152	0.5265036035
1945	0.3758798955	0.5264303968
1946	0.3758256897	0.5263595102
1947	0.3757424077	0.5262625826
1948	0.3757027026	0.526222698
1949	0.3756637697	0.5261761607
1950	0.3756170118	0.5261248938
1951	0.3755816778	0.5260826596
1952	0.3755060161	0.5259910594
1953	0.3754753343	0.5259528295
1954	0.3754408849	0.5259206242
1955	0.3754132894	0.5258843471
1956	0.3753675777	0.52582925
1957	0.3752368792	0.5256586061
1958	0.3751755587	0.5255845778
1959	0.3750271082	0.5253930051
1960	0.3749897304	0.5253540818
1961	0.3749312338	0.5252894592
1962	0.3748544816	0.525201914
1963	0.3747630373	0.5250778327
1964	0.3746794291	0.5249717682
1965	0.3746071682	0.5248987446
1966	0.3745065083	0.5247797301
1967	0.3744748586	0.5247473989
1968	0.3744090418	0.5246647755
1969	0.3743643486	0.5246067944
1970	0.3743153222	0.5245568147
1971	0.3742756346	0.5245069243
1972	0.3742084508	0.5244395819
1973	0.3741375979	0.5243601792
1974	0.3740421979	0.5242386634
1975	0.3740008179	0.5241972041
1976	0.3739018838	0.5240803163
1977	0.3738324345	0.5239829813
1978	0.3737673926	0.5239080156
1979	0.3737327905	0.5238648296
1980	0.3737017639	0.5238382349
1981	0.3736271518	0.5237437159
