iter	Passed	Remaining
609	48129	196462
610	48202	196362
611	48279	196274
612	48364	196219
613	48449	196166
614	48535	196114
615	48634	196116
616	48721	196069
617	48808	196025
618	48892	195966
619	48977	195909
620	49074	195901
621	49165	195869
622	49239	195772
623	49330	195740
624	49405	195645
625	49496	195615
626	49560	195476
627	49637	195389
628	49731	195369
629	49806	195273
630	49894	195228
631	49978	195169
632	50081	195185
633	50145	195047
634	50221	194953
635	50297	194861
636	50393	194849
637	50478	194794
638	50570	194763
639	50641	194652
640	50735	194633
641	50810	194535
642	50880	194421
643	50971	194387
644	51065	194364
645	51155	194327
646	51254	194324
647	51320	194192
648	51426	194216
649	51515	194175
650	51623	194201
651	51732	194235
652	51815	194167
653	51916	194172
654	52008	194137
655	52091	194071
656	52177	194016
657	52263	193964
658	52348	193902
659	52476	194003
660	52572	193985
661	52657	193927
662	52753	193906
663	52852	193900
664	52946	193872
665	53027	193796
666	53127	193792
667	53225	193778
668	53297	193669
669	53373	193577
670	53462	193534
671	53553	193492
672	53634	193418
673	53714	193340
674	53801	193288
675	53859	193129
676	53934	193034
677	54011	192944
678	54080	192825
679	54159	192744
680	54242	192676
681	54318	192582
682	54397	192501
683	54463	192373
684	54552	192326
685	54629	192239
686	54721	192203
687	54796	192107
688	54868	192001
689	54923	191833
690	54982	191684
691	55073	191644
692	55149	191551
693	55223	191452
694	55291	191333
695	55374	191264
696	55459	191203
697	55538	191122
698	55625	191069
699	55720	191041
700	55795	190945
701	55859	190815
702	55951	190776
703	56050	190763
704	56135	190700
705	56222	190646
706	56301	190564
707	56379	190481
708	56454	190385
709	56542	190333
710	56631	190285
711	56694	190149
712	56767	190046
713	56843	189954
714	56912	189842
715	56978	189717
716	57045	189593
717	57093	189408
718	57173	189334
719	57254	189258
720	57349	189230
721	57435	189172
722	57530	189143
723	57619	189094
724	57691	188990
725	57762	188882
726	57854	188841
727	57937	188773
728	58014	188687
729	58099	188622
730	58164	188497
731	58243	188416
732	58311	188300
733	58395	188233
734	58477	188162
735	58564	188107
736	58663	188088
737	58768	188090
738	58870	188083
739	58960	188035
740	59052	187994
741	59160	188004
742	59261	187993
743	59366	187993
744	59444	187909
745	59524	187828
746	59599	187734
747	59674	187639
748	59741	187520
749	59819	187434
750	59916	187409
751	60013	187382
752	60108	187349
753	60207	187330
754	60283	187238
755	60350	187118
756	60420	187007
757	60499	186925
758	60561	186792
759	60648	186735
760	60746	186708
761	60828	186635
762	60899	186529
763	60984	186464
764	61063	186382
765	61141	186298
766	61224	186227
767	61297	186127
768	61377	186047
769	61448	185942
770	61535	185883
771	61606	185776
772	61674	185663
773	61750	185569
774	61821	185463
775	61915	185426
776	61987	185322
777	62069	185251
778	62136	185132
779	62202	185011
780	62277	184917
781	62364	184859
782	62455	184815
783	62535	184734
784	62631	184704
785	62704	184603
786	62771	184486
787	62844	184387
788	62915	184280
789	62983	184167
790	63049	184048
791	63128	183964
792	63224	183933
793	63309	183867
794	63378	183758
795	63464	183695
796	63554	183646
797	63627	183547
798	63715	183491
799	63805	183440
800	63874	183329
801	63952	183244
802	64052	183223
803	64123	183119
804	64202	183037
805	64279	182948
806	64362	182877
807	64454	182833
808	64532	182748
809	64606	182653
810	64686	182572
811	64762	182483
812	64821	182344
813	64919	182317
814	65008	182262
815	65092	182194
816	65188	182159
817	65282	182120
818	65346	181997
819	65428	181923
820	65502	181826
821	65589	181766
822	65665	181676
823	65748	181607
824	65833	181540
825	65937	181526
826	66015	181442
827	66106	181394
828	66197	181344
829	66288	181294
830	66359	181191
831	66444	181125
832	66514	181018
833	66607	180975
834	66692	180908
835	66769	180822
836	66862	180775
837	66935	180678
838	66999	180554
839	67069	180448
840	67140	180346
841	67224	180275
842	67319	180238
843	67412	180191
844	67510	180159
845	67595	180095
846	67670	180001
847	67769	179972
848	67846	179885
849	67948	179864
850	68068	179890
851	68179	179891
852	68260	179815
853	68344	179743
854	68429	179678
855	68522	179631
856	68619	179595
857	68704	179527
858	68790	179463
859	68891	179439
860	68993	179416
861	69085	179366
862	69171	179299
863	69243	179200
864	69327	179130
865	69410	179057
866	69488	178969
867	69577	178913
868	69657	178832
869	69748	178781
870	69833	178712
871	69925	178662
872	70008	178590
873	70109	178563
874	70196	178498
875	70289	178451
876	70356	178339
877	70441	178270
878	70518	178181
879	70603	178113
880	70673	178008
